,symbol,metric,value
132,ADBE,Day's Range,379.38 - 389.30
133,ADBE,52 Week Range,338.00 - 699.54
134,ADBE,Volume,"2,180,040"
135,ADBE,Avg. Volume,"3,331,948"
136,ADBE,Market Cap,180.056B
137,ADBE,Beta (5Y Monthly),1.08
138,ADBE,PE Ratio (TTM),37.21
139,ADBE,EPS (TTM),10.24
140,ADBE,Earnings Date,15-Sep-22
141,ADBE,Forward Dividend & Yield,N/A (N/A)
142,ADBE,Ex-Dividend Date,24-Mar-05
143,ADBE,1y Target Est,466.24
144,ADP,Previous Close,218.79
145,ADP,Open,218.27
146,ADP,Bid,218.28 x 800
147,ADP,Ask,218.27 x 800
148,ADP,Day's Range,215.98 - 220.50
149,ADP,52 Week Range,192.26 - 248.96
150,ADP,Volume,"1,617,640"
151,ADP,Avg. Volume,"1,883,804"
152,ADP,Market Cap,91.198B
153,ADP,Beta (5Y Monthly),0.83
154,ADP,PE Ratio (TTM),32.2
155,ADP,EPS (TTM),6.78
156,ADP,Earnings Date,27-Jul-22
157,ADP,Forward Dividend & Yield,4.16 (1.90%)
158,ADP,Ex-Dividend Date,9-Jun-22
159,ADP,1y Target Est,233.38
160,AAP,Previous Close,183.1
161,AAP,Open,184.18
162,AAP,Bid,183.50 x 1000
163,AAP,Ask,183.72 x 800
164,AAP,Day's Range,182.12 - 185.99
165,AAP,52 Week Range,164.00 - 244.55
166,AAP,Volume,"519,004"
167,AAP,Avg. Volume,"847,964"
168,AAP,Market Cap,11.135B
169,AAP,Beta (5Y Monthly),1.23
170,AAP,PE Ratio (TTM),20.4
171,AAP,EPS (TTM),9
172,AAP,Earnings Date,"Aug 22, 2022 - Aug 26, 2022"
173,AAP,Forward Dividend & Yield,6.00 (3.28%)
174,AAP,Ex-Dividend Date,16-Jun-22
175,AAP,1y Target Est,222.67
176,AES,Previous Close,21.42
177,AES,Open,21.32
178,AES,Bid,21.47 x 2900
179,AES,Ask,21.69 x 1100
180,AES,Day's Range,21.14 - 21.55
181,AES,52 Week Range,18.62 - 27.00
182,AES,Volume,"3,624,023"
183,AES,Avg. Volume,"5,847,316"
184,AES,Market Cap,14.326B
185,AES,Beta (5Y Monthly),1
186,AES,PE Ratio (TTM),N/A
187,AES,EPS (TTM),-0.22
188,AES,Earnings Date,"Aug 02, 2022 - Aug 08, 2022"
189,AES,Forward Dividend & Yield,0.63 (3.28%)
190,AES,Ex-Dividend Date,28-Apr-22
191,AES,1y Target Est,27.32
192,AFL,Previous Close,55.79
193,AFL,Open,55.97
194,AFL,Bid,55.79 x 900
195,AFL,Ask,55.80 x 1200
196,AFL,Day's Range,55.31 - 56.03
197,AFL,52 Week Range,51.28 - 67.20
198,AFL,Volume,"1,895,845"
199,AFL,Avg. Volume,"2,745,527"
200,AFL,Market Cap,36.002B
201,AFL,Beta (5Y Monthly),0.95
202,AFL,PE Ratio (TTM),9.18
203,AFL,EPS (TTM),6.09
204,AFL,Earnings Date,1-Aug-22
205,AFL,Forward Dividend & Yield,1.60 (3.02%)
206,AFL,Ex-Dividend Date,17-May-22
207,AFL,1y Target Est,61.92
208,A,Previous Close,121.29
209,A,Open,121.83
210,A,Bid,120.57 x 900
211,A,Ask,120.60 x 800
212,A,Day's Range,119.85 - 122.29
213,A,52 Week Range,112.52 - 179.57
214,A,Volume,"1,725,910"
215,A,Avg. Volume,"2,040,179"
216,A,Market Cap,36.015B
