,symbol,metric,value
2037,COST,Ex-Dividend Date,28-Apr-22
2038,COST,1y Target Est,553.23
2039,CTRA,Previous Close,26.35
2040,CTRA,Open,26.59
2041,CTRA,Bid,26.95 x 900
2042,CTRA,Ask,27.13 x 3200
2043,CTRA,Day's Range,26.17 - 27.31
2044,CTRA,52 Week Range,14.28 - 36.55
2045,CTRA,Volume,"11,103,169"
2046,CTRA,Avg. Volume,"11,104,358"
2047,CTRA,Market Cap,21.781B
2048,CTRA,Beta (5Y Monthly),-0.23
2049,CTRA,PE Ratio (TTM),10.06
2050,CTRA,EPS (TTM),2.69
2051,CTRA,Earnings Date,"Jul 28, 2022 - Aug 01, 2022"
2052,CTRA,Forward Dividend & Yield,0.60 (2.18%)
2053,CTRA,Ex-Dividend Date,12-May-22
2054,CTRA,1y Target Est,39.04
2055,CCI,Previous Close,174.99
2056,CCI,Open,174.53
2057,CCI,Bid,173.62 x 1000
2058,CCI,Ask,173.30 x 800
2059,CCI,Day's Range,172.97 - 176.37
2060,CCI,52 Week Range,153.70 - 209.87
2061,CCI,Volume,"1,386,696"
2062,CCI,Avg. Volume,"1,727,743"
2063,CCI,Market Cap,75.114B
2064,CCI,Beta (5Y Monthly),0.54
2065,CCI,PE Ratio (TTM),51.63
2066,CCI,EPS (TTM),3.36
2067,CCI,Earnings Date,"Jul 19, 2022 - Jul 25, 2022"
2068,CCI,Forward Dividend & Yield,5.88 (3.36%)
2069,CCI,Ex-Dividend Date,14-Jun-22
2070,CCI,1y Target Est,201.28
2071,CSX,Previous Close,29.57
2072,CSX,Open,29.59
2073,CSX,Bid,29.01 x 2900
2074,CSX,Ask,29.31 x 1800
2075,CSX,Day's Range,29.06 - 29.64
2076,CSX,52 Week Range,28.44 - 38.63
2077,CSX,Volume,"16,133,674"
2078,CSX,Avg. Volume,"16,425,756"
2079,CSX,Market Cap,63.749B
2080,CSX,Beta (5Y Monthly),1.22
2081,CSX,PE Ratio (TTM),16.66
2082,CSX,EPS (TTM),1.76
2083,CSX,Earnings Date,20-Jul-22
2084,CSX,Forward Dividend & Yield,0.40 (1.35%)
2085,CSX,Ex-Dividend Date,27-May-22
2086,CSX,1y Target Est,39.08
2087,CMI,Previous Close,195.02
2088,CMI,Open,196.95
2089,CMI,Bid,195.51 x 1200
2090,CMI,Ask,195.71 x 800
2091,CMI,Day's Range,193.21 - 198.89
2092,CMI,52 Week Range,184.28 - 247.48
2093,CMI,Volume,"570,607"
2094,CMI,Avg. Volume,"982,819"
2095,CMI,Market Cap,27.568B
2096,CMI,Beta (5Y Monthly),1.02
2097,CMI,PE Ratio (TTM),14.52
2098,CMI,EPS (TTM),13.46
2099,CMI,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
2100,CMI,Forward Dividend & Yield,5.80 (2.96%)
2101,CMI,Ex-Dividend Date,19-May-22
2102,CMI,1y Target Est,243.52
2103,CVS,Previous Close,94.52
2104,CVS,Open,94.5
2105,CVS,Bid,94.37 x 800
2106,CVS,Ask,95.00 x 800
2107,CVS,Day's Range,94.10 - 94.98
2108,CVS,52 Week Range,79.33 - 111.25
2109,CVS,Volume,"4,650,603"
2110,CVS,Avg. Volume,"5,576,798"
2111,CVS,Market Cap,123.971B
2112,CVS,Beta (5Y Monthly),0.77
2113,CVS,PE Ratio (TTM),15.73
2114,CVS,EPS (TTM),6.01
2115,CVS,Earnings Date,3-Aug-22
2116,CVS,Forward Dividend & Yield,2.20 (2.42%)
2117,CVS,Ex-Dividend Date,21-Apr-22
2118,CVS,1y Target Est,117.22
2119,DHI,Previous Close,67.69
2120,DHI,Open,67.77
2121,DHI,Bid,67.75 x 800
2122,DHI,Ask,67.97 x 800
2123,DHI,Day's Range,66.54 - 68.68
2124,DHI,52 Week Range,59.25 - 110.45
2125,DHI,Volume,"2,705,093"
2126,DHI,Avg. Volume,"4,116,759"
2127,DHI,Market Cap,23.927B
2128,DHI,Beta (5Y Monthly),1.58
2129,DHI,PE Ratio (TTM),4.87
2130,DHI,EPS (TTM),13.95
2131,DHI,Earnings Date,21-Jul-22
2132,DHI,Forward Dividend & Yield,0.90 (1.47%)
2133,DHI,Ex-Dividend Date,6-May-22
2134,DHI,1y Target Est,96.68
2135,DHR,Previous Close,256.83
2136,DHR,Open,258.46
2137,DHR,Bid,256.25 x 1000
2138,DHR,Ask,256.73 x 900
2139,DHR,Day's Range,254.67 - 259.62
2140,DHR,52 Week Range,233.71 - 333.96
2141,DHR,Volume,"1,501,104"
2142,DHR,Avg. Volume,"2,797,414"
2143,DHR,Market Cap,186.43B
2144,DHR,Beta (5Y Monthly),0.84
2145,DHR,PE Ratio (TTM),29.68
2146,DHR,EPS (TTM),8.64
2147,DHR,Earnings Date,21-Jul-22
2148,DHR,Forward Dividend & Yield,1.00 (0.41%)
2149,DHR,Ex-Dividend Date,23-Jun-22
2150,DHR,1y Target Est,328.41
2151,DRI,Previous Close,119.81
2152,DRI,Open,121.46
2153,DRI,Bid,121.90 x 900
2154,DRI,Ask,121.92 x 1200
2155,DRI,Day's Range,120.29 - 123.06
2156,DRI,52 Week Range,110.96 - 164.28
2157,DRI,Volume,"1,669,105"
2158,DRI,Avg. Volume,"1,225,300"
2159,DRI,Market Cap,15.209B
2160,DRI,Beta (5Y Monthly),1.32
2161,DRI,PE Ratio (TTM),15.33
2162,DRI,EPS (TTM),7.95
2163,DRI,Earnings Date,"Sep 21, 2022 - Sep 26, 2022"
2164,DRI,Forward Dividend & Yield,4.40 (3.87%)
2165,DRI,Ex-Dividend Date,7-Apr-22
2166,DRI,1y Target Est,143.71
2167,DVA,Previous Close,77.5
2168,DVA,Open,77.71
2169,DVA,Bid,79.47 x 800
2170,DVA,Ask,79.51 x 800
2171,DVA,Day's Range,76.94 - 79.63
2172,DVA,52 Week Range,74.97 - 136.48
2173,DVA,Volume,"800,569"
2174,DVA,Avg. Volume,"920,458"
2175,DVA,Market Cap,7.515B
2176,DVA,Beta (5Y Monthly),1.14
2177,DVA,PE Ratio (TTM),9.39
2178,DVA,EPS (TTM),8.46
2179,DVA,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
2180,DVA,Forward Dividend & Yield,N/A (N/A)
2181,DVA,Ex-Dividend Date,N/A
2182,DVA,1y Target Est,107.38
2183,DE,Previous Close,310.87
2184,DE,Open,317.63
2185,DE,Bid,316.63 x 800
2186,DE,Ask,316.98 x 900
2187,DE,Day's Range,311.35 - 320.69
2188,DE,52 Week Range,295.59 - 446.76
2189,DE,Volume,"1,683,218"
2190,DE,Avg. Volume,"1,874,130"
2191,DE,Market Cap,96.376B
2192,DE,Beta (5Y Monthly),1.03
2193,DE,PE Ratio (TTM),16.46
2194,DE,EPS (TTM),19.16
2195,DE,Earnings Date,19-Aug-22
2196,DE,Forward Dividend & Yield,4.52 (1.37%)
2197,DE,Ex-Dividend Date,29-Jun-22
2198,DE,1y Target Est,412.59
2199,DAL,Previous Close,31.2
2200,DAL,Open,31.33
2201,DAL,Bid,30.49 x 3200
2202,DAL,Ask,30.46 x 1200
2203,DAL,Day's Range,30.34 - 31.39
2204,DAL,52 Week Range,28.76 - 46.27
2205,DAL,Volume,"12,649,270"
2206,DAL,Avg. Volume,"14,925,366"
2207,DAL,Market Cap,19.514B
2208,DAL,Beta (5Y Monthly),1.05
2209,DAL,PE Ratio (TTM),37.86
2210,DAL,EPS (TTM),0.8
2211,DAL,Earnings Date,"Jul 12, 2022 - Jul 18, 2022"
2212,DAL,Forward Dividend & Yield,N/A (N/A)
2213,DAL,Ex-Dividend Date,19-Feb-20
2214,DAL,1y Target Est,54.24
2215,XRAY,Previous Close,39.72
2216,XRAY,Open,39.72
2217,XRAY,Bid,39.54 x 900
2218,XRAY,Ask,39.55 x 900
2219,XRAY,Day's Range,39.23 - 39.75
2220,XRAY,52 Week Range,35.00 - 67.69
2221,XRAY,Volume,"1,127,976"
2222,XRAY,Avg. Volume,"2,646,609"
2223,XRAY,Market Cap,8.502B
2224,XRAY,Beta (5Y Monthly),0.94
2225,XRAY,PE Ratio (TTM),23.47
2226,XRAY,EPS (TTM),1.68
2227,XRAY,Earnings Date,"Aug 03, 2022 - Aug 08, 2022"
2228,XRAY,Forward Dividend & Yield,0.50 (1.26%)
2229,XRAY,Ex-Dividend Date,23-Jun-22
2230,XRAY,1y Target Est,46.1
2231,DVN,Previous Close,53.77
2232,DVN,Open,54.45
2233,DVN,Bid,58.28 x 800
2234,DVN,Ask,57.97 x 1400
2235,DVN,Day's Range,54.60 - 58.45
2236,DVN,52 Week Range,24.05 - 79.40
2237,DVN,Volume,"17,565,302"
2238,DVN,Avg. Volume,"11,997,512"
2239,DVN,Market Cap,38.174B
2240,DVN,Beta (5Y Monthly),2.59
2241,DVN,PE Ratio (TTM),10.81
2242,DVN,EPS (TTM),5.35
2243,DVN,Earnings Date,1-Aug-22
2244,DVN,Forward Dividend & Yield,5.08 (9.45%)
2245,DVN,Ex-Dividend Date,10-Jun-22
2246,DVN,1y Target Est,81.43
2247,DXCM,Previous Close,77.67
2248,DXCM,Open,77.44
2249,DXCM,Bid,76.00 x 800
2250,DXCM,Ask,77.25 x 900
2251,DXCM,Day's Range,75.57 - 77.89
2252,DXCM,52 Week Range,66.89 - 164.86
2253,DXCM,Volume,"2,662,210"
2254,DXCM,Avg. Volume,"3,681,496"
2255,DXCM,Market Cap,30.066B
2256,DXCM,Beta (5Y Monthly),1.07
2257,DXCM,PE Ratio (TTM),156.65
2258,DXCM,EPS (TTM),0.49
2259,DXCM,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
2260,DXCM,Forward Dividend & Yield,N/A (N/A)
2261,DXCM,Ex-Dividend Date,N/A
2262,DXCM,1y Target Est,125.55
2263,FANG,Previous Close,119.7
2264,FANG,Open,121
2265,FANG,Bid,124.86 x 900
2266,FANG,Ask,125.50 x 800
2267,FANG,Day's Range,119.83 - 125.91
2268,FANG,52 Week Range,65.93 - 162.24
2269,FANG,Volume,"3,154,900"
2270,FANG,Avg. Volume,"2,840,980"
2271,FANG,Market Cap,21.842B
2272,FANG,Beta (5Y Monthly),2.18
2273,FANG,PE Ratio (TTM),8.2
2274,FANG,EPS (TTM),15.16
2275,FANG,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
2276,FANG,Forward Dividend & Yield,2.80 (2.29%)
2277,FANG,Ex-Dividend Date,11-May-22
2278,FANG,1y Target Est,180.73
2279,DLR,Previous Close,138.8
2280,DLR,Open,138.03
2281,DLR,Bid,137.54 x 900
2282,DLR,Ask,137.61 x 800
2283,DLR,Day's Range,136.78 - 139.10
2284,DLR,52 Week Range,124.11 - 178.22
2285,DLR,Volume,"981,055"
2286,DLR,Avg. Volume,"1,514,329"
2287,DLR,Market Cap,39.935B
2288,DLR,Beta (5Y Monthly),0.3
2289,DLR,PE Ratio (TTM),28.36
2290,DLR,EPS (TTM),4.84
2291,DLR,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
2292,DLR,Forward Dividend & Yield,4.88 (3.52%)
2293,DLR,Ex-Dividend Date,14-Jun-22
2294,DLR,1y Target Est,160.74
2295,DFS,Previous Close,99.17
2296,DFS,Open,99.91
2297,DFS,Bid,98.52 x 800
2298,DFS,Ask,98.78 x 1400
2299,DFS,Day's Range,98.09 - 100.33
2300,DFS,52 Week Range,88.02 - 135.69
2301,DFS,Volume,"1,938,554"
2302,DFS,Avg. Volume,"1,842,075"
2303,DFS,Market Cap,27.847B
2304,DFS,Beta (5Y Monthly),1.45
2305,DFS,PE Ratio (TTM),5.8
2306,DFS,EPS (TTM),16.99
2307,DFS,Earnings Date,"Jul 19, 2022 - Jul 25, 2022"
2308,DFS,Forward Dividend & Yield,2.40 (2.55%)
2309,DFS,Ex-Dividend Date,25-May-22
2310,DFS,1y Target Est,139.47
2311,DISH,Previous Close,18.85
2312,DISH,Open,18.83
2313,DISH,Bid,18.91 x 1400
2314,DISH,Ask,19.18 x 800
2315,DISH,Day's Range,18.41 - 19.02
2316,DISH,52 Week Range,16.20 - 46.31
2317,DISH,Volume,"4,504,553"
2318,DISH,Avg. Volume,"4,496,209"
2319,DISH,Market Cap,9.985B
2320,DISH,Beta (5Y Monthly),1.93
2321,DISH,PE Ratio (TTM),5.41
2322,DISH,EPS (TTM),3.48
2323,DISH,Earnings Date,"Aug 08, 2022 - Aug 12, 2022"
2324,DISH,Forward Dividend & Yield,N/A (N/A)
2325,DISH,Ex-Dividend Date,12-Dec-12
2326,DISH,1y Target Est,41.53
2327,DIS,Previous Close,97.78
2328,DIS,Open,98.22
2329,DIS,Bid,96.61 x 800
2330,DIS,Ask,96.58 x 800
2331,DIS,Day's Range,95.80 - 98.23
2332,DIS,52 Week Range,92.01 - 187.58
2333,DIS,Volume,"9,881,179"
2334,DIS,Avg. Volume,"13,410,927"
2335,DIS,Market Cap,175.973B
2336,DIS,Beta (5Y Monthly),1.22
2337,DIS,PE Ratio (TTM),66.63
2338,DIS,EPS (TTM),1.45
2339,DIS,Earnings Date,"Aug 10, 2022 - Aug 15, 2022"
2340,DIS,Forward Dividend & Yield,N/A (N/A)
2341,DIS,Ex-Dividend Date,13-Dec-19
2342,DIS,1y Target Est,N/A
2343,DG,Previous Close,247.9
2344,DG,Open,248
2345,DG,Bid,247.08 x 1400
2346,DG,Ask,248.31 x 1200
2347,DG,Day's Range,245.04 - 251.20
2348,DG,52 Week Range,183.25 - 262.21
2349,DG,Volume,"1,281,838"
2350,DG,Avg. Volume,"2,174,746"
2351,DG,Market Cap,56.014B
2352,DG,Beta (5Y Monthly),0.52
2353,DG,PE Ratio (TTM),25.3
2354,DG,EPS (TTM),9.75
2355,DG,Earnings Date,"Aug 24, 2022 - Aug 29, 2022"
2356,DG,Forward Dividend & Yield,2.20 (0.95%)
2357,DG,Ex-Dividend Date,1-Jul-22
2358,DG,1y Target Est,249.71
2359,DLTR,Previous Close,157.21
2360,DLTR,Open,157.39
2361,DLTR,Bid,155.68 x 900
2362,DLTR,Ask,158.30 x 1100
2363,DLTR,Day's Range,156.10 - 159.58
2364,DLTR,52 Week Range,84.26 - 177.19
2365,DLTR,Volume,"1,640,384"
2366,DLTR,Avg. Volume,"2,548,153"
2367,DLTR,Market Cap,35.284B
2368,DLTR,Beta (5Y Monthly),0.7
2369,DLTR,PE Ratio (TTM),23.94
2370,DLTR,EPS (TTM),6.56
2371,DLTR,Earnings Date,"Aug 24, 2022 - Aug 29, 2022"
2372,DLTR,Forward Dividend & Yield,N/A (N/A)
2373,DLTR,Ex-Dividend Date,N/A
2374,DLTR,1y Target Est,173.87
2375,D,Previous Close,78.14
2376,D,Open,77.73
2377,D,Bid,78.51 x 1000
2378,D,Ask,78.54 x 800
2379,D,Day's Range,77.45 - 78.88
2380,D,52 Week Range,70.37 - 88.78
2381,D,Volume,"2,334,056"
2382,D,Avg. Volume,"3,512,350"
2383,D,Market Cap,63.782B
2384,D,Beta (5Y Monthly),0.42
2385,D,PE Ratio (TTM),27.98
2386,D,EPS (TTM),2.81
2387,D,Earnings Date,"Aug 04, 2022 - Aug 08, 2022"
2388,D,Forward Dividend & Yield,2.67 (3.42%)
2389,D,Ex-Dividend Date,2-Jun-22
2390,D,1y Target Est,89.38
2391,DPZ,Previous Close,396.54
2392,DPZ,Open,398.55
2393,DPZ,Bid,397.28 x 1400
2394,DPZ,Ask,397.52 x 1000
2395,DPZ,Day's Range,392.36 - 401.07
2396,DPZ,52 Week Range,321.15 - 567.57
2397,DPZ,Volume,"522,244"
2398,DPZ,Avg. Volume,"548,746"
2399,DPZ,Market Cap,14.331B
2400,DPZ,Beta (5Y Monthly),0.71
2401,DPZ,PE Ratio (TTM),30.49
2402,DPZ,EPS (TTM),13.04
2403,DPZ,Earnings Date,"Jul 20, 2022 - Jul 25, 2022"
2404,DPZ,Forward Dividend & Yield,4.40 (1.11%)
2405,DPZ,Ex-Dividend Date,14-Jun-22
2406,DPZ,1y Target Est,405.05
2407,DOV,Previous Close,123.22
2408,DOV,Open,123.99
2409,DOV,Bid,123.13 x 800
2410,DOV,Ask,123.32 x 800
2411,DOV,Day's Range,122.33 - 124.35
2412,DOV,52 Week Range,117.17 - 184.05
2413,DOV,Volume,"957,889"
2414,DOV,Avg. Volume,"1,003,901"
2415,DOV,Market Cap,17.742B
2416,DOV,Beta (5Y Monthly),1.4
2417,DOV,PE Ratio (TTM),16.01
2418,DOV,EPS (TTM),7.69
2419,DOV,Earnings Date,"Jul 18, 2022 - Jul 22, 2022"
2420,DOV,Forward Dividend & Yield,2.00 (1.68%)
2421,DOV,Ex-Dividend Date,27-May-22
2422,DOV,1y Target Est,169.6
2423,DOW,Previous Close,53.14
2424,DOW,Open,52.9
2425,DOW,Bid,51.95 x 2900
2426,DOW,Ask,52.07 x 1100
2427,DOW,Day's Range,51.97 - 53.29
2428,DOW,52 Week Range,50.42 - 71.86
2429,DOW,Volume,"7,457,966"
2430,DOW,Avg. Volume,"5,729,593"
2431,DOW,Market Cap,38.021B
2432,DOW,Beta (5Y Monthly),1.3
2433,DOW,PE Ratio (TTM),5.69
2434,DOW,EPS (TTM),9.17
2435,DOW,Earnings Date,21-Jul-22
2436,DOW,Forward Dividend & Yield,2.80 (5.11%)
2437,DOW,Ex-Dividend Date,27-May-22
2438,DOW,1y Target Est,70
2439,DTE,Previous Close,122.91
2440,DTE,Open,122.56
2441,DTE,Bid,124.30 x 1000
2442,DTE,Ask,124.34 x 800
2443,DTE,Day's Range,122.30 - 124.64
2444,DTE,52 Week Range,108.22 - 140.23
2445,DTE,Volume,"599,334"
2446,DTE,Avg. Volume,"1,053,929"
2447,DTE,Market Cap,24.091B
2448,DTE,Beta (5Y Monthly),0.62
2449,DTE,PE Ratio (TTM),26.73
2450,DTE,EPS (TTM),4.65
2451,DTE,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
2452,DTE,Forward Dividend & Yield,3.54 (3.02%)
2453,DTE,Ex-Dividend Date,17-Jun-22
2454,DTE,1y Target Est,140.15
2455,DUK,Previous Close,104.53
2456,DUK,Open,104.03
2457,DUK,Bid,105.10 x 1200
2458,DUK,Ask,105.70 x 1000
2459,DUK,Day's Range,103.76 - 105.37
2460,DUK,52 Week Range,95.48 - 116.33
2461,DUK,Volume,"1,402,954"
2462,DUK,Avg. Volume,"2,937,654"
2463,DUK,Market Cap,80.993B
2464,DUK,Beta (5Y Monthly),0.34
2465,DUK,PE Ratio (TTM),22.1
2466,DUK,EPS (TTM),4.76
2467,DUK,Earnings Date,"Aug 03, 2022 - Aug 08, 2022"
2468,DUK,Forward Dividend & Yield,3.94 (3.81%)
2469,DUK,Ex-Dividend Date,12-May-22
2470,DUK,1y Target Est,115.67
2471,DRE,Previous Close,57.45
2472,DRE,Open,57.44
2473,DRE,Bid,56.19 x 1300
2474,DRE,Ask,56.73 x 1300
2475,DRE,Day's Range,56.04 - 57.61
2476,DRE,52 Week Range,47.03 - 66.22
2477,DRE,Volume,"3,970,272"
2478,DRE,Avg. Volume,"3,263,822"
2479,DRE,Market Cap,21.826B
2480,DRE,Beta (5Y Monthly),0.73
2481,DRE,PE Ratio (TTM),20.99
2482,DRE,EPS (TTM),2.68
2483,DRE,Earnings Date,"Jul 26, 2022 - Aug 01, 2022"
2484,DRE,Forward Dividend & Yield,1.12 (2.13%)
2485,DRE,Ex-Dividend Date,13-May-22
2486,DRE,1y Target Est,N/A
2487,DD,Previous Close,58.55
2488,DD,Open,58.46
2489,DD,Bid,57.45 x 800
2490,DD,Ask,57.47 x 1000
2491,DD,Day's Range,57.28 - 58.55
2492,DD,52 Week Range,54.59 - 85.16
2493,DD,Volume,"3,066,840"
2494,DD,Avg. Volume,"2,999,298"
2495,DD,Market Cap,29.276B
2496,DD,Beta (5Y Monthly),1.18
2497,DD,PE Ratio (TTM),19.13
2498,DD,EPS (TTM),3.01
2499,DD,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
2500,DD,Forward Dividend & Yield,1.32 (2.25%)
2501,DD,Ex-Dividend Date,27-May-22
2502,DD,1y Target Est,91.78
2503,DXC,Previous Close,32.15
2504,DXC,Open,32.25
2505,DXC,Bid,32.22 x 1000
2506,DXC,Ask,32.26 x 800
2507,DXC,Day's Range,31.63 - 32.50
2508,DXC,52 Week Range,27.28 - 44.18
2509,DXC,Volume,"1,433,967"
2510,DXC,Avg. Volume,"1,975,537"
2511,DXC,Market Cap,7.422B
2512,DXC,Beta (5Y Monthly),2.15
2513,DXC,PE Ratio (TTM),11.5
2514,DXC,EPS (TTM),2.81
2515,DXC,Earnings Date,"Aug 02, 2022 - Aug 08, 2022"
2516,DXC,Forward Dividend & Yield,N/A (N/A)
2517,DXC,Ex-Dividend Date,24-Mar-20
2518,DXC,1y Target Est,37.92
2519,EMN,Previous Close,92.45
2520,EMN,Open,92.86
2521,EMN,Bid,92.26 x 1000
2522,EMN,Ask,92.32 x 1200
2523,EMN,Day's Range,91.71 - 93.06
2524,EMN,52 Week Range,85.94 - 129.48
2525,EMN,Volume,"1,103,316"
2526,EMN,Avg. Volume,"1,098,120"
2527,EMN,Market Cap,11.902B
2528,EMN,Beta (5Y Monthly),1.44
2529,EMN,PE Ratio (TTM),15.24
2530,EMN,EPS (TTM),6.06
2531,EMN,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
2532,EMN,Forward Dividend & Yield,3.04 (3.29%)
2533,EMN,Ex-Dividend Date,14-Jun-22
2534,EMN,1y Target Est,126.25
2535,ETN,Previous Close,131.83
2536,ETN,Open,132.77
2537,ETN,Bid,132.55 x 800
2538,ETN,Ask,132.67 x 800
2539,ETN,Day's Range,131.15 - 133.48
2540,ETN,52 Week Range,123.69 - 175.72
2541,ETN,Volume,"1,390,356"
2542,ETN,Avg. Volume,"2,116,975"
2543,ETN,Market Cap,52.768B
2544,ETN,Beta (5Y Monthly),1.16
2545,ETN,PE Ratio (TTM),23.92
2546,ETN,EPS (TTM),5.53
2547,ETN,Earnings Date,3-May-22
2548,ETN,Forward Dividend & Yield,3.24 (2.58%)
2549,ETN,Ex-Dividend Date,12-May-22
2550,ETN,1y Target Est,168.5
2551,EBAY,Previous Close,45.67
2552,EBAY,Open,45.87
2553,EBAY,Bid,44.27 x 1300
2554,EBAY,Ask,44.86 x 800
2555,EBAY,Day's Range,44.22 - 45.94
2556,EBAY,52 Week Range,40.52 - 81.19
2557,EBAY,Volume,"4,633,460"
2558,EBAY,Avg. Volume,"7,355,430"
2559,EBAY,Market Cap,24.846B
2560,EBAY,Beta (5Y Monthly),1.15
2561,EBAY,PE Ratio (TTM),2.4
2562,EBAY,EPS (TTM),18.5
2563,EBAY,Earnings Date,"Aug 09, 2022 - Aug 15, 2022"
2564,EBAY,Forward Dividend & Yield,0.88 (2.05%)
2565,EBAY,Ex-Dividend Date,31-May-22
2566,EBAY,1y Target Est,57.73
2567,ECL,Previous Close,159.65
2568,ECL,Open,159.03
2569,ECL,Bid,156.74 x 800
2570,ECL,Ask,156.77 x 1100
2571,ECL,Day's Range,155.91 - 159.37
2572,ECL,52 Week Range,143.82 - 238.93
2573,ECL,Volume,"1,348,793"
2574,ECL,Avg. Volume,"1,286,670"
2575,ECL,Market Cap,44.822B
2576,ECL,Beta (5Y Monthly),1.05
2577,ECL,PE Ratio (TTM),40.85
2578,ECL,EPS (TTM),3.84
2579,ECL,Earnings Date,26-Jul-22
2580,ECL,Forward Dividend & Yield,2.04 (1.37%)
2581,ECL,Ex-Dividend Date,17-Jun-22
2582,ECL,1y Target Est,194.81
2583,EIX,Previous Close,62.79
2584,EIX,Open,62.7
2585,EIX,Bid,63.29 x 900
2586,EIX,Ask,63.31 x 1200
2587,EIX,Day's Range,62.44 - 63.51
2588,EIX,52 Week Range,54.14 - 73.32
2589,EIX,Volume,"1,266,841"
2590,EIX,Avg. Volume,"1,867,940"
2591,EIX,Market Cap,24.119B
2592,EIX,Beta (5Y Monthly),0.66
2593,EIX,PE Ratio (TTM),41.22
2594,EIX,EPS (TTM),1.53
2595,EIX,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
2596,EIX,Forward Dividend & Yield,2.80 (4.64%)
2597,EIX,Ex-Dividend Date,30-Mar-22
2598,EIX,1y Target Est,74.73
2599,EW,Previous Close,96.98
2600,EW,Open,96.9
2601,EW,Bid,96.92 x 1300
2602,EW,Ask,96.94 x 800
2603,EW,Day's Range,95.80 - 97.45
2604,EW,52 Week Range,85.58 - 131.73
2605,EW,Volume,"3,893,482"
2606,EW,Avg. Volume,"2,908,058"
2607,EW,Market Cap,60.192B
2608,EW,Beta (5Y Monthly),1.16
2609,EW,PE Ratio (TTM),39.84
2610,EW,EPS (TTM),2.43
2611,EW,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
2612,EW,Forward Dividend & Yield,N/A (N/A)
2613,EW,Ex-Dividend Date,N/A
2614,EW,1y Target Est,125.53
2615,EA,Previous Close,130.2
2616,EA,Open,129.12
2617,EA,Bid,123.83 x 1100
2618,EA,Ask,126.00 x 1400
2619,EA,Day's Range,123.24 - 129.79
2620,EA,52 Week Range,109.24 - 147.76
2621,EA,Volume,"3,522,322"
2622,EA,Avg. Volume,"2,685,956"
2623,EA,Market Cap,35.155B
2624,EA,Beta (5Y Monthly),0.81
2625,EA,PE Ratio (TTM),45.51
2626,EA,EPS (TTM),2.76
2627,EA,Earnings Date,2-Aug-22
2628,EA,Forward Dividend & Yield,0.76 (0.59%)
2629,EA,Ex-Dividend Date,7-Jun-22
2630,EA,1y Target Est,152.1
2631,LLY,Previous Close,325.62
2632,LLY,Open,324.23
2633,LLY,Bid,326.57 x 1300
2634,LLY,Ask,326.77 x 1000
2635,LLY,Day's Range,322.00 - 330.85
2636,LLY,52 Week Range,220.20 - 330.85
2637,LLY,Volume,"3,183,920"
2638,LLY,Avg. Volume,"3,084,046"
2639,LLY,Market Cap,310.959B
2640,LLY,Beta (5Y Monthly),0.4
2641,LLY,PE Ratio (TTM),48.64
2642,LLY,EPS (TTM),6.73
2643,LLY,Earnings Date,4-Aug-22
2644,LLY,Forward Dividend & Yield,3.92 (1.32%)
2645,LLY,Ex-Dividend Date,13-May-22
2646,LLY,1y Target Est,304.28
2647,EMR,Previous Close,82.03
2648,EMR,Open,82.57
2649,EMR,Bid,82.36 x 1200
2650,EMR,Ask,82.31 x 800
2651,EMR,Day's Range,81.62 - 82.79
2652,EMR,52 Week Range,76.77 - 105.99
2653,EMR,Volume,"2,579,852"
2654,EMR,Avg. Volume,"3,066,591"
2655,EMR,Market Cap,49.005B
2656,EMR,Beta (5Y Monthly),1.42
2657,EMR,PE Ratio (TTM),17.26
2658,EMR,EPS (TTM),4.78
2659,EMR,Earnings Date,"Aug 02, 2022 - Aug 08, 2022"
2660,EMR,Forward Dividend & Yield,2.06 (2.65%)
2661,EMR,Ex-Dividend Date,12-May-22
2662,EMR,1y Target Est,106.65
2663,ENPH,Previous Close,198.39
2664,ENPH,Open,201.92
2665,ENPH,Bid,205.63 x 1300
2666,ENPH,Ask,207.41 x 1200
2667,ENPH,Day's Range,199.60 - 210.10
2668,ENPH,52 Week Range,113.40 - 282.46
2669,ENPH,Volume,"2,748,113"
2670,ENPH,Avg. Volume,"2,613,753"
2671,ENPH,Market Cap,27.839B
2672,ENPH,Beta (5Y Monthly),1.39
2673,ENPH,PE Ratio (TTM),175.61
2674,ENPH,EPS (TTM),1.17
2675,ENPH,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
2676,ENPH,Forward Dividend & Yield,N/A (N/A)
2677,ENPH,Ex-Dividend Date,N/A
2678,ENPH,1y Target Est,230.63
2679,ETR,Previous Close,110.55
2680,ETR,Open,110.41
2681,ETR,Bid,111.90 x 800
2682,ETR,Ask,111.83 x 800
2683,ETR,Day's Range,110.20 - 112.06
2684,ETR,52 Week Range,98.50 - 126.82
